individual2
tailbase
3600,2330.0057007272744
7200,3042.617225737898
10800,3099.493123441799
14400,3213.9097685022275
18000,4295.846890797177
21600,4471.0207699879265
25200,4511.814503486419
28800,5834.288394995449
32400,7488.688323989117
36000,7523.085668353549
39600,7552.540567040873
43200,8022.456256982802
46800,8330.819334745527
50400,9029.684751910794
54000,10214.000417627529
57600,10244.416292109197
61200,10678.674283352562
64800,14720.48397208229
68400,17545.279252027805
72000,19043.705766548013
75600,21156.89308333556
79200,21915.846849066394
82800,22762.91220445859
86400,22942.03226699259
90000,24316.045003766125
93600,24730.976058457443
97200,28303.702205786143
100800,28680.039021680557
104400,28732.047458232617
leftear
3600,20266.913803403182
7200,24916.733042987773
10800,26211.39053892375
14400,26765.314173494975
18000,30457.042213061715
21600,31603.106492663428
25200,34109.977910284586
28800,36698.73094071593
32400,41319.331184830895
36000,42424.81134212493
39600,45267.698572260815
43200,49305.82826889104
46800,52070.72813977728
50400,53716.52488863418
54000,62470.84511926182
57600,63763.1285394551
61200,68138.77492281195
64800,86371.39968204839
68400,94462.11816140256
72000,99391.57909010646
75600,111943.32679474089
79200,118264.19102204168
82800,126254.11710959411
86400,132116.41674309803
90000,141310.7196011221
93600,148423.7903065027
97200,158473.4226856368
100800,166923.5492165948
104400,171625.22727944702
snout
3600,22386.242518353636
7200,28023.084593514865
10800,28622.128229259157
14400,29391.7059271561
18000,34000.156802632235
21600,35642.796620682166
25200,37961.38388878244
28800,40778.70084372838
32400,46449.41026624371
36000,47661.19402493071
39600,53065.28360155934
43200,57944.0311042656
46800,61965.00446049829
50400,63774.2175849573
54000,75605.10720086603
57600,77009.62294243184
61200,81841.39669497083
64800,102456.11093286234
68400,110055.58994692404
72000,115614.24709850781
75600,131005.81306222847
79200,137533.5101627725
82800,145728.51399278108
86400,152240.97570561324
90000,161487.07934336824
93600,169002.55240714087
97200,181276.97391275046
100800,192513.95842812487
104400,198570.200384318
rightear
3600,19002.5614818138
7200,23537.059986822736
10800,24767.275803052427
14400,25237.26405628466
18000,29622.91181095361
21600,30463.858481519746
25200,32567.850228991476
28800,35187.775289079014
32400,39747.441518810985
36000,40635.78252793526
39600,44901.21804007584
43200,48277.326362506945
46800,50919.24717952336
50400,52117.04261682536
54000,60986.25796634309
57600,62392.624092804384
61200,65941.38789451576
64800,84294.06231576116
68400,90665.2898264814
72000,95114.19319953625
75600,107697.2727841231
79200,113012.25387957635
82800,120160.91095472938
86400,124790.79745830664
90000,131929.99623445323
93600,137948.60734113213
97200,148371.69611031996
100800,156549.81067652258
104400,160566.187552651
individual2
tailbase
3600,2330.0057007272744
7200,3042.617225737898
10800,3099.493123441799
14400,3213.9097685022275
18000,4295.846890797177
21600,4471.0207699879265
25200,4511.814503486419
28800,5834.288394995449
32400,7488.688323989117
36000,7523.085668353549
39600,7552.540567040873
43200,8022.456256982802
46800,8330.819334745527
50400,9029.684751910794
54000,10214.000417627529
57600,10244.416292109197
61200,10678.674283352562
64800,14720.48397208229
68400,17545.279252027805
72000,19043.705766548013
75600,21156.89308333556
79200,21915.846849066394
82800,22762.91220445859
86400,22942.03226699259
90000,24316.045003766125
93600,24730.976058457443
97200,28303.702205786143
100800,28680.039021680557
104400,28732.047458232617
leftear
3600,20266.913803403182
7200,24916.733042987773
10800,26211.39053892375
14400,26765.314173494975
18000,30457.042213061715
21600,31603.106492663428
25200,34109.977910284586
28800,36698.73094071593
32400,41319.331184830895
36000,42424.81134212493
39600,45267.698572260815
43200,49305.82826889104
46800,52070.72813977728
50400,53716.52488863418
54000,62470.84511926182
57600,63763.1285394551
61200,68138.77492281195
64800,86371.39968204839
68400,94462.11816140256
72000,99391.57909010646
75600,111943.32679474089
79200,118264.19102204168
82800,126254.11710959411
86400,132116.41674309803
90000,141310.7196011221
93600,148423.7903065027
97200,158473.4226856368
100800,166923.5492165948
104400,171625.22727944702
snout
3600,22386.242518353636
7200,28023.084593514865
10800,28622.128229259157
14400,29391.7059271561
18000,34000.156802632235
21600,35642.796620682166
25200,37961.38388878244
28800,40778.70084372838
32400,46449.41026624371
36000,47661.19402493071
39600,53065.28360155934
43200,57944.0311042656
46800,61965.00446049829
50400,63774.2175849573
54000,75605.10720086603
57600,77009.62294243184
61200,81841.39669497083
64800,102456.11093286234
68400,110055.58994692404
72000,115614.24709850781
75600,131005.81306222847
79200,137533.5101627725
82800,145728.51399278108
86400,152240.97570561324
90000,161487.07934336824
93600,169002.55240714087
97200,181276.97391275046
100800,192513.95842812487
104400,198570.200384318
rightear
3600,19002.5614818138
7200,23537.059986822736
10800,24767.275803052427
14400,25237.26405628466
18000,29622.91181095361
21600,30463.858481519746
25200,32567.850228991476
28800,35187.775289079014
32400,39747.441518810985
36000,40635.78252793526
39600,44901.21804007584
43200,48277.326362506945
46800,50919.24717952336
50400,52117.04261682536
54000,60986.25796634309
57600,62392.624092804384
61200,65941.38789451576
64800,84294.06231576116
68400,90665.2898264814
72000,95114.19319953625
75600,107697.2727841231
79200,113012.25387957635
82800,120160.91095472938
86400,124790.79745830664
90000,131929.99623445323
93600,137948.60734113213
97200,148371.69611031996
100800,156549.81067652258
104400,160566.187552651
