scorer,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000,DLC_dlcrnetms5_CMar11shuffle1_19000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3
bodyparts,snout,snout,snout,rightear,rightear,rightear,leftear,leftear,leftear,tailbase,tailbase,tailbase,snout,snout,snout,rightear,rightear,rightear,leftear,leftear,leftear,tailbase,tailbase,tailbase,snout,snout,snout,rightear,rightear,rightear,leftear,leftear,leftear,tailbase,tailbase,tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
148,816.07,628.637,1.0,876.148,606.138,1.0,882.98,585.749,1.0,,,0.0,832.545,718.034,1.0,765.554,626.351,1.0,783.43,649.679,1.0,,,0.0,,,,,,,,,,,,
149,816.642,629.047,1.0,876.299,606.73,1.0,883.165,586.017,1.0,,,0.0,831.289,716.937,1.0,765.531,626.4,1.0,783.924,650.676,1.0,,,0.0,,,,,,,,,,,,
150,815.904,629.242,1.0,875.651,607.601,1.0,882.851,587.022,1.0,,,0.0,831.473,717.112,1.0,765.52,626.306,1.0,783.594,650.155,1.0,,,0.0,,,,,,,,,,,,
151,815.745,629.667,1.0,875.978,607.686,1.0,882.739,586.907,1.0,,,0.0,832.123,717.159,1.0,763.707,624.11,1.0,783.028,648.504,1.0,,,0.0,,,,,,,,,,,,
152,813.337,635.196,1.0,875.167,608.019,1.0,881.283,587.255,1.0,,,0.0,832.6,718.002,1.0,763.904,624.692,1.0,781.58,650.26,1.0,,,0.0,,,,,,,,,,,,
153,813.728,635.86,1.0,873.392,608.551,1.0,878.798,588.349,1.0,,,0.0,832.741,717.819,1.0,764.484,624.658,1.0,782.606,648.969,1.0,,,0.0,,,,,,,,,,,,
154,814.156,638.99,1.0,872.338,607.516,1.0,878.537,592.38,1.0,,,0.0,832.729,717.125,1.0,765.48,624.705,1.0,783.202,650.064,1.0,,,0.0,,,,,,,,,,,,
155,813.592,639.064,1.0,871.427,607.503,1.0,878.349,592.394,1.0,,,0.0,832.66,717.343,1.0,765.76,625.219,1.0,782.823,650.696,1.0,,,0.0,,,,,,,,,,,,
156,812.986,639.897,1.0,871.507,607.422,1.0,878.481,592.551,1.0,,,0.0,832.678,716.936,1.0,765.338,624.651,1.0,782.037,651.144,1.0,,,0.0,,,,,,,,,,,,
157,812.708,638.965,1.0,870.461,608.441,1.0,877.336,593.996,1.0,,,0.0,831.118,717.806,1.0,764.63,624.38,1.0,781.787,651.111,1.0,,,0.0,,,,,,,,,,,,
158,812.199,639.773,1.0,869.418,609.192,1.0,876.253,593.92,1.0,,,0.0,831.196,717.192,1.0,763.565,623.989,1.0,781.232,650.715,1.0,980.564,739.668,1.0,,,,,,,,,,,,
159,812.073,640.062,1.0,867.404,608.426,1.0,874.93,593.422,1.0,,,0.0,832.967,717.359,1.0,762.164,623.87,1.0,780.496,651.05,1.0,,,0.0,,,,,,,,,,,,
160,812.382,640.228,1.0,866.951,608.763,1.0,874.819,593.264,1.0,,,0.0,831.035,717.315,1.0,761.757,623.8,1.0,780.517,650.326,1.0,980.788,739.269,1.0,,,,,,,,,,,,
161,813.016,640.293,1.0,866.977,609.065,1.0,874.569,593.256,1.0,,,0.0,833.305,718.192,1.0,763.08,623.743,1.0,781.828,649.379,1.0,,,0.0,,,,,,,,,,,,
162,812.899,639.667,1.0,866.344,609.844,1.0,876.85,590.548,1.0,,,0.0,831.896,716.942,1.0,762.339,623.711,1.0,780.911,649.654,1.0,,,0.0,,,,,,,,,,,,
163,812.332,638.905,1.0,866.703,609.669,1.0,877.56,590.316,1.0,,,0.0,832.77,718.051,1.0,762.543,623.679,1.0,781.068,649.253,1.0,,,0.0,,,,,,,,,,,,
164,812.119,639.364,1.0,866.377,609.806,1.0,877.361,590.318,1.0,,,0.0,832.954,717.997,1.0,762.689,623.766,1.0,780.89,649.721,1.0,,,0.0,,,,,,,,,,,,
165,812.36,638.947,1.0,866.429,609.98,1.0,877.276,590.527,1.0,,,0.0,829.503,719.778,1.0,762.522,623.655,1.0,781.593,648.688,1.0,,,0.0,,,,,,,,,,,,
166,812.69,640.505,1.0,865.968,610.038,1.0,876.884,590.591,1.0,,,0.0,829.493,719.89,1.0,762.355,623.812,1.0,780.882,649.784,1.0,,,0.0,,,,,,,,,,,,
167,812.75,640.019,1.0,865.556,610.454,1.0,876.118,591.318,1.0,,,0.0,831.07,716.542,1.0,761.349,624.116,1.0,779.903,649.582,1.0,979.511,738.742,1.0,,,,,,,,,,,,
168,814.701,640.635,1.0,866.096,610.194,1.0,876.989,590.95,1.0,,,0.0,831.255,716.666,1.0,761.315,624.207,1.0,779.538,650.126,1.0,979.538,738.719,1.0,,,,,,,,,,,,
169,814.46,641.145,1.0,865.956,610.259,1.0,876.995,590.935,1.0,,,0.0,831.069,716.577,1.0,761.486,624.353,1.0,779.514,650.266,1.0,979.395,738.827,1.0,,,,,,,,,,,,
170,814.478,641.273,1.0,865.647,609.779,1.0,876.443,590.539,1.0,,,0.0,831.289,716.56,1.0,761.828,624.797,1.0,779.622,650.4,1.0,979.456,738.604,1.0,,,,,,,,,,,,
171,814.164,641.504,1.0,864.623,610.357,1.0,876.232,591.446,1.0,,,0.0,830.953,716.46,1.0,762.606,624.907,1.0,779.936,650.096,1.0,979.53,738.279,1.0,,,,,,,,,,,,
172,814.519,641.686,1.0,862.511,610.361,1.0,873.952,592.17,1.0,,,0.0,832.801,717.059,1.0,762.122,624.72,1.0,779.588,649.502,1.0,,,0.0,,,,,,,,,,,,
173,813.951,640.29,1.0,862.23,609.914,1.0,873.835,592.078,1.0,,,0.0,830.355,720.426,1.0,760.507,624.638,1.0,786.198,648.42,1.0,,,0.0,,,,,,,,,,,,
174,814.011,639.938,1.0,862.136,609.858,1.0,873.932,592.077,1.0,,,0.0,829.075,720.283,1.0,761.568,622.762,1.0,778.976,648.853,1.0,,,0.0,,,,,,,,,,,,
175,813.868,640.468,1.0,862.173,609.75,1.0,873.978,592.047,1.0,,,0.0,831.255,716.537,1.0,762.434,622.86,1.0,778.868,649.877,1.0,980.734,739.309,1.0,,,,,,,,,,,,
176,813.725,640.274,1.0,862.189,610.107,1.0,874.034,592.113,1.0,,,0.0,829.003,720.263,1.0,761.792,622.744,1.0,778.615,649.627,1.0,,,0.0,,,,,,,,,,,,
177,812.967,640.695,1.0,861.42,610.252,1.0,873.016,592.491,1.0,,,0.0,832.511,716.066,1.0,760.41,623.208,1.0,785.206,647.636,1.0,,,0.0,,,,,,,,,,,,
178,813.276,641.11,1.0,861.376,610.348,1.0,873.078,592.512,1.0,,,0.0,832.406,716.163,1.0,760.359,623.239,1.0,785.185,647.601,1.0,,,0.0,,,,,,,,,,,,
179,813.254,641.332,1.0,861.472,610.362,1.0,873.046,592.536,1.0,,,0.0,831.899,716.124,1.0,760.389,623.185,1.0,784.974,647.614,1.0,,,0.0,,,,,,,,,,,,
180,813.221,643.315,1.0,861.598,610.213,1.0,873.055,592.443,1.0,,,0.0,831.618,716.474,1.0,762.344,625.625,1.0,779.533,652.717,1.0,,,0.0,,,,,,,,,,,,
181,812.991,642.85,1.0,862.583,610.506,1.0,873.687,592.437,1.0,,,0.0,831.536,716.415,1.0,762.603,626.51,1.0,779.954,653.389,1.0,,,0.0,,,,,,,,,,,,
182,813.694,643.595,1.0,863.247,609.207,1.0,875.024,591.598,1.0,,,0.0,833.207,717.74,1.0,763.686,626.292,1.0,781.283,652.703,1.0,,,0.0,,,,,,,,,,,,
183,813.556,642.732,1.0,863.213,609.482,1.0,875.023,591.558,1.0,,,0.0,831.135,717.374,1.0,762.531,625.886,1.0,781.155,651.696,1.0,982.267,740.494,1.0,,,,,,,,,,,,
184,813.654,641.959,1.0,862.935,609.68,1.0,874.457,591.632,1.0,,,0.0,829.13,720.329,1.0,762.934,625.385,1.0,780.942,651.0,1.0,,,0.0,,,,,,,,,,,,
185,813.799,642.888,1.0,862.649,609.606,1.0,874.537,591.828,1.0,,,0.0,832.349,720.074,1.0,763.082,626.951,1.0,781.054,652.352,1.0,,,0.0,,,,,,,,,,,,
186,817.271,640.954,1.0,862.65,609.529,1.0,874.211,591.777,1.0,,,0.0,836.38,718.625,1.0,769.831,630.087,1.0,792.323,656.068,1.0,,,0.0,,,,,,,,,,,,
187,818.14,638.977,1.0,863.925,609.39,1.0,874.602,591.495,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
188,812.893,636.995,0.9990000128746033,863.288,609.39,1.0,874.499,591.751,1.0,,,0.0,834.181,714.966,0.9559999704360962,781.977,637.112,1.0,808.617,664.416,1.0,,,0.0,,,,,,,,,,,,
189,813.606,635.59,1.0,863.2,609.731,1.0,874.25,592.089,1.0,,,0.0,834.297,714.755,0.949999988079071,785.165,640.315,1.0,813.093,667.398,1.0,,,0.0,,,,,,,,,,,,
190,812.735,635.045,0.9990000128746033,863.061,610.394,1.0,874.238,592.336,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
191,812.411,635.557,1.0,862.956,610.165,1.0,874.22,592.337,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
192,812.385,635.878,1.0,861.209,611.965,1.0,874.215,593.809,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
193,813.128,636.488,1.0,860.897,612.653,1.0,874.178,594.235,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
194,811.422,638.655,1.0,867.283,615.532,1.0,875.591,594.601,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
195,811.11,639.029,1.0,865.355,615.812,1.0,873.331,593.45,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
196,810.854,640.209,1.0,864.86,618.192,1.0,870.657,597.571,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,811.433,644.678,0.9890000224113464,775.648,630.579,1.0,822.058,667.433,1.0,,,0.0,,,,,,,,,,,,
199,,,,,,,,,,,,,811.232,651.315,0.7160000205039978,772.411,627.351,1.0,821.617,664.356,1.0,,,0.0,,,,,,,,,,,,
200,,,,,,,,,,,,,804.759,645.17,0.5960000157356262,768.032,626.144,1.0,813.934,664.103,1.0,,,0.0,,,,,,,,,,,,
201,,,,,,,,,,,,,805.298,643.781,0.9440000057220459,764.457,625.491,1.0,814.624,663.741,1.0,,,0.0,,,,,,,,,,,,
202,,,,,,,,,,,,,805.144,643.528,0.9860000014305115,764.19,625.371,1.0,816.081,663.499,1.0,,,0.0,,,,,,,,,,,,
203,,,,,,,,,,,,,806.604,641.284,1.0,755.81,623.773,1.0,815.648,663.991,1.0,,,0.0,,,,,,,,,,,,
204,,,,,,,,,,,,,804.768,636.399,1.0,753.415,618.4,1.0,817.314,658.49,1.0,,,0.0,,,,,,,,,,,,
205,,,,,,,,,,,,,804.133,633.766,1.0,753.268,615.766,1.0,815.539,654.42,1.0,,,0.0,,,,,,,,,,,,
206,,,,,,,,,,,,,804.503,633.07,0.9980000257492065,751.303,613.174,1.0,813.753,651.761,1.0,,,0.0,,,,,,,,,,,,
207,,,,,,,,,,,,,805.443,627.549,1.0,751.915,613.001,1.0,816.135,647.701,1.0,,,0.0,,,,,,,,,,,,
208,,,,,,,,,,,,,804.021,627.271,0.9990000128746033,752.815,610.888,1.0,817.552,647.027,1.0,,,0.0,,,,,,,,,,,,
209,,,,,,,,,,,,,796.813,628.89,0.9210000038146973,753.794,610.988,1.0,815.99,641.174,1.0,,,0.0,,,,,,,,,,,,
210,,,,,,,,,,,,,803.634,627.678,0.5139999985694885,761.267,613.696,1.0,813.221,644.172,1.0,,,0.0,,,,,,,,,,,,
211,,,,,,,,,,,,,803.727,627.497,0.32600000500679016,763.777,612.577,1.0,818.59,641.588,1.0,,,0.0,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,835.687,636.055,0.10300000011920929,785.877,615.284,1.0,837.638,652.189,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
216,835.351,636.184,0.11299999803304672,786.041,616.309,1.0,837.395,651.859,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,827.397,635.417,0.20499999821186066,781.771,615.763,1.0,839.422,649.279,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
219,827.699,635.195,0.1120000034570694,781.402,614.791,1.0,840.163,647.959,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
220,813.183,626.517,0.9990000128746033,775.696,611.477,1.0,833.794,643.985,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
221,813.335,619.509,0.996999979019165,768.062,609.169,1.0,831.778,640.666,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
222,812.168,619.603,0.9990000128746033,763.96,607.448,1.0,827.071,639.752,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
223,811.553,620.362,0.8610000014305115,762.6,607.315,1.0,826.931,639.999,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
224,811.495,634.489,0.8389999866485596,764.619,612.17,1.0,829.301,648.626,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
225,811.721,633.248,0.9890000224113464,761.237,613.79,1.0,823.903,649.16,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
226,811.26,633.419,0.9990000128746033,760.356,615.041,1.0,823.94,654.425,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
227,810.479,628.721,1.0,760.177,616.733,1.0,823.16,657.501,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
228,809.186,625.109,1.0,752.476,614.281,1.0,815.951,651.304,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
229,809.455,619.95,1.0,754.653,608.017,1.0,818.649,651.786,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
230,809.555,622.07,1.0,759.611,609.203,1.0,825.688,649.019,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
231,815.139,624.608,1.0,772.935,606.387,1.0,832.346,650.417,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
232,826.516,627.879,0.9369999766349792,783.037,605.695,1.0,833.609,653.22,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,808.625,442.021,1.0,710.224,391.315,1.0,787.771,397.123,1.0,,,0.0,,,,,,,,,,,,
343,,,,,,,,,,,,,808.199,441.456,1.0,711.473,397.745,1.0,791.603,402.859,1.0,,,0.0,,,,,,,,,,,,
344,,,,,,,,,,,,,807.52,440.958,1.0,709.87,399.847,1.0,792.623,409.226,1.0,,,0.0,,,,,,,,,,,,
345,,,,,,,,,,,,,809.921,441.857,0.9980000257492065,712.191,399.39,1.0,790.567,409.284,1.0,,,0.0,,,,,,,,,,,,
346,,,,,,,,,,,,,803.332,441.63,0.9980000257492065,702.206,398.212,1.0,781.191,404.289,1.0,,,0.0,,,,,,,,,,,,
347,,,,,,,,,,,,,801.945,441.758,1.0,701.816,400.94,1.0,779.137,410.867,1.0,,,0.0,,,,,,,,,,,,
348,,,,,,,,,,,,,807.326,444.558,1.0,715.379,407.565,1.0,786.856,428.577,1.0,,,0.0,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,772.331,441.867,0.574999988079071,730.744,425.737,0.9919999837875366,800.546,449.319,1.0,,,0.0,,,,,,,,,,,,
351,,,,,,,,,,,,,796.574,443.191,0.3089999854564667,748.604,424.075,1.0,815.344,462.972,1.0,,,0.0,,,,,,,,,,,,
352,,,,,,,,,,,,,804.19,452.367,0.847000002861023,753.165,434.209,1.0,822.956,474.668,1.0,,,0.0,,,,,,,,,,,,
353,,,,,,,,,,,,,811.341,468.397,0.3179999887943268,768.967,443.52,1.0,834.637,478.907,1.0,,,0.0,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
